"id","sex","location","weight","group","col","row"
"EXTRA-15",NA,"extra",NA,1,1,"A"
"10","M","site-c",64.459820364731,1,2,"A"
"EXTRA-47",NA,"extra",NA,1,3,"A"
"143","M","site-c",37.8935341590926,1,4,"A"
"167","M","site-b",57.6090160913429,1,5,"A"
"40","F","site-e",48.5234416017715,1,6,"A"
"210","F","site-a",44.9840203915313,1,7,"A"
"EXTRA-40",NA,"extra",NA,1,8,"A"
"EXTRA-18",NA,"extra",NA,1,9,"A"
"63","M","site-d",50.4221467286357,1,10,"A"
"REP-2",NA,"replicate",NA,1,11,"A"
"EXTRA-34",NA,"extra",NA,1,12,"A"
"91","M","site-b",58.8726022346284,1,1,"B"
"166","M","site-c",58.1284627236331,1,2,"B"
"EXTRA-35",NA,"extra",NA,1,3,"B"
"36","F","site-c",54.0736304816053,1,4,"B"
"25","M","site-a",43.7013339756833,1,5,"B"
"129","F","site-c",40.7227635381432,1,6,"B"
"204","M","site-d",43.0845517251166,1,7,"B"
"BLANK-5",NA,"blank",NA,1,8,"B"
"30","M","site-f",38.1814475346754,1,9,"B"
"120","M","site-a",60.2089431402343,1,10,"B"
"EXTRA-36",NA,"extra",NA,1,11,"B"
"62","F","site-c",46.6515805859744,1,12,"B"
"86","F","site-b",59.0024551793188,1,1,"C"
"BLANK-8",NA,"blank",NA,1,2,"C"
"34","F","site-b",45.5741334422636,1,3,"C"
"EXTRA-38",NA,"extra",NA,1,4,"C"
"72","M","site-d",57.5960913579172,1,5,"C"
"183","M","site-e",54.1423293897984,1,6,"C"
"196","F","site-f",61.8123843080484,1,7,"C"
"158","F","site-e",45.9811242022425,1,8,"C"
"111","F","site-f",46.2154438557222,1,9,"C"
"127","F","site-e",62.320577078741,1,10,"C"
"EXTRA-21",NA,"extra",NA,1,11,"C"
"35","F","site-e",36.4033382076258,1,12,"C"
"46","M","site-b",38.1571344558913,1,1,"D"
"16","F","site-f",44.7800523626823,1,2,"D"
"162","M","site-f",56.9950925334032,1,3,"D"
"95","M","site-d",29.938408734772,1,4,"D"
"93","M","site-c",49.0536025741687,1,5,"D"
"49","F","site-a",60.283818147026,1,6,"D"
"57","F","site-d",47.6755643893388,1,7,"D"
"208","F","site-b",59.6388258077957,1,8,"D"
"52","M","site-c",48.8067985130958,1,9,"D"
"171","M","site-a",59.7756895605362,1,10,"D"
"47","F","site-b",63.2236515105149,1,11,"D"
"97","F","site-a",51.2065378644706,1,12,"D"
"219","M","site-f",45.6096194532593,1,1,"E"
"122","F","site-a",53.7551080085807,1,2,"E"
"147","F","site-f",37.783887032688,1,3,"E"
"19","M","site-f",68.4349692908438,1,4,"E"
"169","M","site-e",58.6805767393266,1,5,"E"
"EXTRA-31",NA,"extra",NA,1,6,"E"
"24","F","site-f",44.7344684930108,1,7,"E"
"203","M","site-f",65.4701740745728,1,8,"E"
"130","M","site-b",46.8544425432271,1,9,"E"
"194","F","site-d",47.1309343547481,1,10,"E"
"146","M","site-d",42.6024930101435,1,11,"E"
"EXTRA-26",NA,"extra",NA,1,12,"E"
"REP-4",NA,"replicate",NA,1,1,"F"
"EXTRA-17",NA,"extra",NA,1,2,"F"
"153","M","site-a",35.9775339448101,1,3,"F"
"89","M","site-f",52.512155507674,1,4,"F"
"21","F","site-f",56.6330604126865,1,5,"F"
"154","F","site-e",41.7311682403884,1,6,"F"
"96","F","site-c",34.291034332477,1,7,"F"
"50","F","site-b",62.6371900516546,1,8,"F"
"12","F","site-d",51.1096779477521,1,9,"F"
"BLANK-4",NA,"blank",NA,1,10,"F"
"114","F","site-d",50.8307265378407,1,11,"F"
"53","F","site-a",57.0672181838644,1,12,"F"
"EXTRA-24",NA,"extra",NA,2,1,"A"
"128","F","site-f",49.2552335974979,2,2,"A"
"140","F","site-b",60.310026888186,2,3,"A"
"EXTRA-46",NA,"extra",NA,2,4,"A"
"157","F","site-e",37.2844501915196,2,5,"A"
"214","M","site-f",55.1083788886505,2,6,"A"
"121","F","site-b",65.0301695733352,2,7,"A"
"EXTRA-41",NA,"extra",NA,2,8,"A"
"31","F","site-d",48.0642720230564,2,9,"A"
"REP-7",NA,"replicate",NA,2,10,"A"
"18","F","site-e",58.9544014601403,2,11,"A"
"107","M","site-d",53.2718105689963,2,12,"A"
"142","M","site-a",55.7377684537934,2,1,"B"
"EXTRA-33",NA,"extra",NA,2,2,"B"
"149","F","site-c",67.3916105556545,2,3,"B"
"218","M","site-a",47.2932996826581,2,4,"B"
"197","F","site-e",76.6655851961488,2,5,"B"
"174","F","site-a",55.591653529682,2,6,"B"
"187","F","site-a",52.2908756253106,2,7,"B"
"155","F","site-d",44.8639439808726,2,8,"B"
