"id","sex","location","weight","group"
"BLANK-6",NA,"blank",NA,1
"BLANK-5",NA,"blank",NA,2
"BLANK-9",NA,"blank",NA,3
"BLANK-12",NA,"blank",NA,4
"BLANK-3",NA,"blank",NA,1
"BLANK-11",NA,"blank",NA,2
"BLANK-2",NA,"blank",NA,3
"BLANK-7",NA,"blank",NA,4
"BLANK-8",NA,"blank",NA,1
"BLANK-4",NA,"blank",NA,2
"BLANK-1",NA,"blank",NA,3
"BLANK-10",NA,"blank",NA,4
"REP-1",NA,"replicate",NA,1
"REP-6",NA,"replicate",NA,2
"REP-5",NA,"replicate",NA,3
"REP-2",NA,"replicate",NA,4
"REP-8",NA,"replicate",NA,1
"REP-7",NA,"replicate",NA,2
"REP-9",NA,"replicate",NA,3
"REP-3",NA,"replicate",NA,4
"REP-4",NA,"replicate",NA,1
"113","F","site-a",56.3710109816364,2
"7","F","site-a",58.1765377759761,3
"174","F","site-a",55.591653529682,4
"210","F","site-a",44.9840203915313,1
"200","F","site-a",44.1718200434512,2
"176","F","site-a",59.8077986881521,3
"53","F","site-a",57.0672181838644,4
"49","F","site-a",60.283818147026,1
"134","F","site-a",25.9800978717785,2
"97","F","site-a",51.2065378644706,3
"212","F","site-a",43.4150806247975,4
"54","F","site-a",42.1606049382684,1
"77","F","site-a",61.8929338593088,2
"177","F","site-a",69.8913575022566,3
"187","F","site-a",52.2908756253106,4
"217","F","site-a",52.7830839369026,1
"122","F","site-a",53.7551080085807,2
"69","M","site-a",59.4869001952888,3
"205","M","site-a",58.1547201606782,4
"3","M","site-a",51.4087354565228,1
"26","M","site-a",42.2668975450828,2
"168","M","site-a",31.5083917365448,3
"163","M","site-a",41.6939711483223,4
"171","M","site-a",59.7756895605362,1
"142","M","site-a",55.7377684537934,2
"218","M","site-a",47.2932996826581,3
"8","M","site-a",72.2545125489331,4
"120","M","site-a",60.2089431402343,1
"185","M","site-a",38.4238397747406,2
"25","M","site-a",43.7013339756833,3
"138","M","site-a",68.6571245507839,4
"175","M","site-a",49.1888369673555,1
"153","M","site-a",35.9775339448101,2
"80","M","site-a",49.3557662664369,3
"51","M","site-a",53.0413763963478,4
"140","F","site-b",60.310026888186,1
"206","F","site-b",38.1522774268938,2
"173","F","site-b",41.2734041439877,3
"41","F","site-b",44.2851409588831,4
"34","F","site-b",45.5741334422636,1
"61","F","site-b",57.7289991020819,2
"216","F","site-b",53.2717214512176,3
"39","F","site-b",60.0375151918292,4
"121","F","site-b",65.0301695733352,1
"47","F","site-b",63.2236515105149,2
"37","F","site-b",67.6288076320916,3
"208","F","site-b",59.6388258077957,4
"88","F","site-b",37.1553844330904,1
"86","F","site-b",59.0024551793188,2
"50","F","site-b",62.6371900516546,3
"135","F","site-b",64.0197177465066,4
"141","F","site-b",31.9913703322747,1
"42","F","site-b",53.7020696883229,2
"68","M","site-b",52.9234354989724,3
"82","M","site-b",51.6455915118058,4
"100","M","site-b",35.6044422689281,1
"116","M","site-b",50.8346495546111,2
"46","M","site-b",38.1571344558913,3
"91","M","site-b",58.8726022346284,4
"28","M","site-b",60.1757523495867,1
"198","M","site-b",45.6310070621417,2
"144","M","site-b",59.9555181689305,3
"94","M","site-b",61.2830508025633,4
"59","M","site-b",44.2035408320696,1
"167","M","site-b",57.6090160913429,2
"119","M","site-b",30.6050773073604,3
"179","M","site-b",43.4019813509383,4
"84","M","site-b",60.4798735887323,1
"32","M","site-b",57.9541886046748,2
"159","M","site-b",35.1895394794171,3
"64","M","site-b",51.1059248988806,4
"130","M","site-b",46.8544425432271,1
"2","F","site-c",59.6073927946445,2
"164","F","site-c",57.2889835011117,3
"104","F","site-c",57.2338792928908,4
"96","F","site-c",34.291034332477,1
"139","F","site-c",54.5079975615237,2
"126","F","site-c",37.5892066004783,3
"56","F","site-c",52.3654199961219,4
"129","F","site-c",40.7227635381432,1
"5","F","site-c",39.8692202685967,2
"36","F","site-c",54.0736304816053,3
"73","F","site-c",59.6281009596942,4
"103","F","site-c",72.0564722161608,1
"133","F","site-c",56.5632834297015,2
"62","F","site-c",46.6515805859744,3
"109","F","site-c",48.4479174220888,4
"149","F","site-c",67.3916105556545,1
"93","M","site-c",49.0536025741687,2
"52","M","site-c",48.8067985130958,3
"1","M","site-c",63.4217381850261,4
"10","M","site-c",64.459820364731,1
"182","M","site-c",55.6021179159794,2
"166","M","site-c",58.1284627236331,3
"60","M","site-c",43.7684341559767,4
"190","M","site-c",54.2183692831725,1
"124","M","site-c",58.4179667429924,2
"118","M","site-c",36.2370100942618,3
"180","M","site-c",34.0807969721369,4
"215","M","site-c",53.5027192250875,1
"44","M","site-c",47.8258827742074,2
"14","M","site-c",56.2600557536155,3
"143","M","site-c",37.8935341590926,4
"33","M","site-c",52.8241609669148,1
"191","M","site-c",49.1345164663984,2
"17","M","site-c",44.7559826502586,3
"85","M","site-c",38.0004405948852,4
"38","M","site-c",49.338336333583,1
"58","F","site-d",44.6872006881443,2
"20","F","site-d",57.0493186183507,3
"194","F","site-d",47.1309343547481,4
"188","F","site-d",37.5555806024377,1
"57","F","site-d",47.6755643893388,2
"193","F","site-d",58.9519045834008,3
"12","F","site-d",51.1096779477521,4
"195","F","site-d",29.5500962444763,1
"125","F","site-d",66.2618382350303,2
"172","F","site-d",50.1778313756533,3
"114","F","site-d",50.8307265378407,4
"31","F","site-d",48.0642720230564,1
"76","F","site-d",51.8130929645632,2
"155","F","site-d",44.8639439808726,3
"75","M","site-d",21.8406580963733,4
"13","M","site-d",46.9747257354792,1
"107","M","site-d",53.2718105689963,2
"189","M","site-d",35.2157832154024,3
"83","M","site-d",48.0643662371974,4
"213","M","site-d",57.7643230865879,1
"207","M","site-d",51.1855006315971,2
"110","M","site-d",46.7477916711134,3
"151","M","site-d",41.4048603484916,4
"70","M","site-d",43.4603049813654,1
"165","M","site-d",63.6348100270099,2
"204","M","site-d",43.0845517251166,3
"63","M","site-d",50.4221467286357,4
"150","M","site-d",54.4671819628939,1
"72","M","site-d",57.5960913579172,2
"95","M","site-d",29.938408734772,3
"148","M","site-d",44.2997540177955,4
"146","M","site-d",42.6024930101435,1
"22","M","site-d",53.3148898876956,2
"145","M","site-d",53.153637150415,3
"65","F","site-e",62.0311858918136,4
"99","F","site-e",65.628813011957,1
"66","F","site-e",42.6690106885461,2
"40","F","site-e",48.5234416017715,3
"35","F","site-e",36.4033382076258,4
"197","F","site-e",76.6655851961488,1
"98","F","site-e",47.6942234939492,2
"18","F","site-e",58.9544014601403,3
"23","F","site-e",52.1435234930853,4
"127","F","site-e",62.320577078741,1
"170","F","site-e",54.3503647513646,2
"45","F","site-e",64.9617327500336,3
"158","F","site-e",45.9811242022425,4
"15","F","site-e",45.5815443837624,1
"6","F","site-e",63.0462829340588,2
"154","F","site-e",41.7311682403884,3
"29","F","site-e",46.2803541411603,4
"48","F","site-e",50.4450895749856,1
"157","F","site-e",37.2844501915196,2
"123","F","site-e",46.4300360354938,3
"131","M","site-e",23.8049515191315,4
"106","M","site-e",43.1901317417368,1
"209","M","site-e",52.9161234952287,2
"183","M","site-e",54.1423293897984,3
"152","M","site-e",46.8796886141739,4
"220","M","site-e",47.2680205013508,1
"169","M","site-e",58.6805767393266,2
"202","M","site-e",60.1391606060102,3
"108","M","site-e",42.7237016971203,4
"92","M","site-e",42.184648402073,1
"192","F","site-f",34.2272961019316,2
"128","F","site-f",49.2552335974979,3
"74","F","site-f",51.5805024523695,4
"196","F","site-f",61.8123843080484,1
"16","F","site-f",44.7800523626823,2
"178","F","site-f",46.9946495669795,3
"111","F","site-f",46.2154438557222,4
"117","F","site-f",42.3449920301379,1
"21","F","site-f",56.6330604126865,2
"43","F","site-f",48.6892941776926,3
"137","F","site-f",37.7036253542173,4
"4","F","site-f",33.9618264219088,1
"55","F","site-f",34.0202821358409,2
"24","F","site-f",44.7344684930108,3
"184","F","site-f",48.9120545159487,4
"211","F","site-f",60.5113803621817,1
"81","F","site-f",46.0269758961335,2
"147","F","site-f",37.783887032688,3
"78","F","site-f",47.1258293356571,4
"181","F","site-f",63.8645590834722,1
"71","F","site-f",44.7938419229349,2
"27","F","site-f",45.77191393231,3
"105","M","site-f",59.7575568546917,4
"219","M","site-f",45.6096194532593,1
"9","M","site-f",54.0565001031522,2
"67","M","site-f",58.8680009998934,3
"11","M","site-f",45.0370564615169,4
"90","M","site-f",61.0970495103659,1
"115","M","site-f",67.7212078752946,2
"87","M","site-f",41.2669962251202,3
"102","M","site-f",36.5534185491128,4
"203","M","site-f",65.4701740745728,1
"162","M","site-f",56.9950925334032,2
"132","M","site-f",36.8440805308807,3
"156","M","site-f",57.3357043081511,4
"136","M","site-f",50.6581998936843,1
"79","M","site-f",46.7074606915154,2
"112","M","site-f",49.3832989416994,3
"201","M","site-f",60.4441490792672,4
"160","M","site-f",34.9442180521445,1
"89","M","site-f",52.512155507674,2
"186","M","site-f",73.4900910312728,3
"214","M","site-f",55.1083788886505,4
"30","M","site-f",38.1814475346754,1
"161","M","site-f",61.2162417886775,2
"101","M","site-f",50.2475937868888,3
"19","M","site-f",68.4349692908438,4
"199","M","site-f",46.2947920649888,1
