"group","row","1","2","3","4","5","6","7","8","9","10","11","12"
1,"A","195","160","210","84","211","54","48","10","59","96","136","129"
1,"B","31","13","171","219","130","BLANK-3","49","100","175","121","38","15"
1,"C","REP-8","99","88","28","120","33","220","197","BLANK-6","190","150","REP-1"
1,"D","106","149","188","215","34","217","127","181","199","3","140","146"
1,"E","30","4","117","REP-4","203","196","103","90","92","70","141","BLANK-8"
1,"F","213",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2,"A","139","115","93","86","21","198","61","16","REP-7","32","79","47"
2,"B","89","81","125","165","134","55","6","157","142","71","200","72"
2,"C","42","113","76","122","170","REP-6","167","162","57","66","77","26"
2,"D","169","191","5","161","2","133","BLANK-4","124","116","185","58","22"
2,"E","192","9","182","207","206","107","98","153","BLANK-11","BLANK-5","209","44"
3,"A","132","166","186","147","183","193","40","176","25","18","155","37"
3,"B","159","97","145","112","218","36","144","BLANK-9","118","202","46","123"
3,"C","126","128","24","216","67","27","17","50","189","REP-9","62","110"
3,"D","172","80","168","20","95","119","52","164","43","204","45","87"
3,"E","173","69","154","14","BLANK-2","68","7","BLANK-1","101","177","178","REP-5"
4,"A","156","35","11","19","85","158","201","135","82","148","143","BLANK-12"
4,"B","BLANK-7","102","BLANK-10","51","205","212","152","208","94","73","1","23"
4,"C","78","41","29","187","REP-2","91","39","114","56","138","151","104"
4,"D","53","8","60","12","174","194","65","REP-3","83","109","180","108"
4,"E","214","74","111","163","63","105","179","137","131","75","64","184"
